Ширина колеса,Высота колеса,Диаметры колес,Сверловка,Ширина дисков,Вылет
105,25,R12,98.00x3,"4.0 """,-98
115,30,R13,98.00x4,"4.5 """,-88
125,35,R14,98.00x5,"5.0 """,-65
135,40,R15,100.00x4,"5.5 """,-50
145,45,R16,100.00x5,"6.0 """,-46
155,50,R17,100.00x9,"6.5 """,-44
165,55,R18,105.00x5,"6.75 """,-40
175,60,R19,108.00x4,"7.0 """,-36
185,65,R20,108.00x5,"7.5 """,-35
195,70,R21,110.00x4,"8.0 """,-34
205,75,R22,110.00x5,"8.25 """,-30
215,80,R24,112.00x3,"8.5 """,-28
225,85,,112.00x5,"9.0 """,-25
235,90,,114.30x4,"9.5 """,-24
245,95,,114.30x5,"10.0 """,-22
255,100,,114.30x6,"10.5 """,-20
265,105,,114.30x8,"11.0 """,-16
275,110,,114.30x9,"11.5 """,-15
285,,,114.30x10,"12.0 """,-14
295,,,115.00x5,"13.0 """,-13
305,,,115.00x6,"14.0 """,-12
315,,,118.00x5,"15.0 """,-10
325,,,120.00x5,,-6
335,,,120.00x10,,-5
345,,,120.60x5,,0
355,,,120.65x5,,1
365,,,120.70x5,,2
375,,,125.00x6,,3
385,,,127.00x5,,4
395,,,127.00x6,,5
405,,,130.00x5,,6
415,,,130.00x6,,7
425,,,135.00x5,,8
435,,,135.00x6,,10
445,,,139.00x5,,12
455,,,139.70x5,,13
465,,,139.70x6,,14
475,,,140.00x6,,15
485,,,150.00x5,,15.35
495,,,150.10x5,,16
505,,,160.00x5,,17
515,,,165.00x5,,18
525,,,165.10x8,,19
535,,,170.00x6,,20
545,,,170.00x8,,21
555,,,180.00x6,,22
565,,,197.00х5,,23
575,,,200.00x6,,24
585,,,203.20x5,,25
595,,,205.00x6,,26
605,,,256.00x3,,27
615,,,,,28
625,,,,,28.5
635,,,,,29
645,,,,,30
655,,,,,31
665,,,,,31.5
675,,,,,32
685,,,,,33
695,,,,,34
705,,,,,35
715,,,,,36
725,,,,,36.5
735,,,,,37
745,,,,,37.5
755,,,,,38
765,,,,,39
775,,,,,39.5
785,,,,,40
795,,,,,41
805,,,,,41.3
815,,,,,41.5
,,,,,42
,,,,,43
,,,,,43.5
,,,,,43.8
,,,,,44
,,,,,45
,,,,,45.5
,,,,,46
,,,,,47
,,,,,47.5
,,,,,48
,,,,,49
,,,,,49.5
,,,,,50
,,,,,50.5
,,,,,50.8
,,,,,51
,,,,,52
,,,,,52.2
,,,,,52.5
,,,,,53
,,,,,54
,,,,,55
,,,,,56
,,,,,57
,,,,,58
,,,,,59
,,,,,60
,,,,,62
,,,,,63
,,,,,65
,,,,,66
,,,,,68
,,,,,70
,,,,,79
,,,,,102
,,,,,105
,,,,,106
,,,,,108
,,,,,110
,,,,,115
,,,,,120
,,,,,121
,,,,,123
,,,,,125
,,,,,127
,,,,,134
,,,,,135
,,,,,136
,,,,,140
,,,,,147
,,,,,157
,,,,,161
,,,,,165
,,,,,168
,,,,,172
,,,,,175
,,,,,185